# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
3110079O15Rik	3110079O15Rik	NM_028473.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
3830432H09Rik	3830432H09Rik	NR_126486.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
4930532M18Rik	4930532M18Rik	NR_108050.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4930558K02Rik	4930558K02Rik	NM_001204904.1		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
4930558K02Rik	4930558K02Rik	NM_001204905.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
4931408C20Rik	4931408C20Rik	NM_001033764.3		0	0	4	3	1	0	0	0	0	0	1	4	0	0	0	0	0	0	0	1
4931428L18Rik	4931428L18Rik	NR_033445.1		0	0	0	5	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3
4933406M09Rik	4933406M09Rik	NM_173771.4		0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4933415F23Rik	4933415F23Rik	NM_025746.2		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
6430706D22Rik	6430706D22Rik	NR_040291.1		0	0	0	17	0	0	0	0	4	0	2	0	9	0	0	0	0	0	0	2
9230116N13Rik	9230116N13Rik	NR_024328.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
9630028B13Rik	9630028B13Rik	NR_038006.1		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
A330023F24Rik	A330023F24Rik	NR_015566.2		0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A530032D15Rik	A530032D15Rik	NM_213615.2		0	0	1	11	0	0	0	0	1	0	9	1	0	0	0	0	0	0	0	1
A630095N17Rik	A630095N17Rik	NM_001243090.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A630095N17Rik	A630095N17Rik	NM_001243091.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A730008H23Rik	A730008H23Rik	NM_172505.4		0	0	3	18	3	0	0	0	5	0	5	3	0	0	0	0	0	0	0	5
A830018L16Rik	A830018L16Rik	NM_001160369.2		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A830018L16Rik	A830018L16Rik	NM_001160370.2		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A830018L16Rik	A830018L16Rik	NM_001160371.2		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A830018L16Rik	A830018L16Rik	NM_001310451.1		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A830018L16Rik	A830018L16Rik	NM_177173.6		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AI607873	AI607873	NM_001204910.1		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Aamp	Aamp	NM_001190444.1		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Aamp	Aamp	NM_146110.3		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Abca12	Abca12	NM_175210.3		0	0	1	4	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0
Abi2	Abi2	NM_001198570.1		0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Abi2	Abi2	NM_001198571.1		0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Abi2	Abi2	NM_198127.2		0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Acadl	Acadl	NM_007381.4		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Acsl3	Acsl3	NM_001033606.2		0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Acsl3	Acsl3	NM_001136222.1		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Acsl3	Acsl3	NM_028817.3		0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Adcy10	Adcy10	NM_173029.3		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Adgrb3	Adgrb3	NM_175642.4		1	0	0	3	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0
Adhfe1	Adhfe1	NM_175236.4		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Adhfe1	Adhfe1	NR_027664.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Adipor1	Adipor1	NM_001306069.1		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Adipor1	Adipor1	NM_028320.4		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Adora1	Adora1	NM_001008533.3		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Adora1	Adora1	NM_001039510.2		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Adora1	Adora1	NM_001282945.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Adora1	Adora1	NM_001291928.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Adora1	Adora1	NM_001291930.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Adss	Adss	NM_007422.3		0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Aff3	Aff3	NM_001290814.1		0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0
Agap1	Agap1	NM_001037136.1		0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Agap1	Agap1	NM_178119.3		0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Agxt	Agxt	NM_001276710.1		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Agxt	Agxt	NM_016702.3		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Ahctf1	Ahctf1	NM_026375.2		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Akp3	Akp3	NM_007432.2		0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Akr1cl	Akr1cl	NM_001310617.1		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Akr1cl	Akr1cl	NM_027582.4		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Alpi	Alpi	NM_001081082.2		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Als2	Als2	NM_001159948.2		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Als2	Als2	NM_028717.6		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Als2	Als2	NM_146109.3		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Als2cr12	Als2cr12	NM_175370.5		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Angel2	Angel2	NM_001199020.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Angel2	Angel2	NM_021421.4		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Angel2	Angel2	NR_037578.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Angel2	Angel2	NR_037579.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Ankar	Ankar	NM_176980.4		0	0	2	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
Ankrd44	Ankrd44	NM_001081433.3		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Ankzf1	Ankzf1	NM_001267620.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Ankzf1	Ankzf1	NM_026187.5		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Ankzf1	Ankzf1	NR_051998.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Ankzf1	Ankzf1	NR_051999.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Ano7	Ano7	NM_001271884.1		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Ano7	Ano7	NM_207031.2		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Aox1	Aox1	NM_009676.2		0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Aox2	Aox2	NM_001008419.2		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Aox3	Aox3	NM_023617.2		0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Aox4	Aox4	NM_023631.2		1	1	2	4	0	0	1	0	0	1	3	2	0	0	0	0	0	0	1	0
Arfgef1	Arfgef1	NM_001102430.1		0	0	1	2	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
Arhgef4	Arhgef4	NM_183019.2		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Arl4c	Arl4c	NM_177305.4		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Armc9	Armc9	NM_001310702.1		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Armc9	Armc9	NM_027456.2		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Armc9	Armc9	NM_030184.2		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Arpc5	Arpc5	NM_026369.2		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Asb1	Asb1	NM_001039126.2		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Asb1	Asb1	NM_023046.4		1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Asic4	Asic4	NM_183022.3		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Aspm	Aspm	NM_009791.4		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Astn1	Astn1	NM_001205204.1		0	0	3	4	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0
Astn1	Astn1	NM_007495.4		0	0	3	4	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0
Atg9a	Atg9a	NM_001003917.4		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Atg9a	Atg9a	NM_001288612.1		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Atg9a	Atg9a	NM_001288613.1		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Atg9a	Atg9a	NR_109938.1		0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Atic	Atic	NM_026195.3		0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Atp1a2	Atp1a2	NM_178405.3		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Atp1a4	Atp1a4	NM_013734.1		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Atp6v1h	Atp6v1h	NM_001310442.1		0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0
Atp6v1h	Atp6v1h	NM_133826.5		0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0
B3galt2	B3galt2	NM_020025.4		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BC003331	BC003331	NM_001077237.1		0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
BC003331	BC003331	NM_145511.2		0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
BC026585	BC026585	NM_001033284.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
BC055324	BC055324	NM_201364.1		0	0	1	2	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1
Bard1	Bard1	NM_007525.3		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Bcl2	Bcl2	NM_009741.5		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bcs1l	Bcs1l	NM_001305652.1		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bcs1l	Bcs1l	NM_025784.5		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bend6	Bend6	NM_001310484.1		0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Bend6	Bend6	NM_177235.3		0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Bivm	Bivm	NM_144558.4		0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Blzf1	Blzf1	NM_001160208.1		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Blzf1	Blzf1	NM_001160209.1		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Blzf1	Blzf1	NM_025505.4		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bmpr2	Bmpr2	NM_007561.4		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Boll	Boll	NM_001113367.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Boll	Boll	NM_029267.3		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bpnt1	Bpnt1	NM_011794.3		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Brinp2	Brinp2	NM_207583.2		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Brinp3	Brinp3	NM_001145807.1		0	0	1	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
Brinp3	Brinp3	NM_153539.3		0	0	1	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
C130026I21Rik	C130026I21Rik	NM_001037909.3		1	1	1	15	2	0	0	0	1	1	12	1	0	0	0	0	0	0	1	0
C130026I21Rik	C130026I21Rik	NM_175219.3		2	1	1	14	2	0	0	0	1	1	12	1	0	0	1	0	0	0	1	0
C130074G19Rik	C130074G19Rik	NM_178692.3		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1ql2	C1ql2	NM_207233.1		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
C4bp-ps1	C4bp-ps1	NR_028304.1		0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Cab39	Cab39	NM_133781.4		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cacna1e	Cacna1e	NM_009782.3		0	0	1	7	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0
Cacna1s	Cacna1s	NM_001081023.1		0	1	1	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0
Cacna1s	Cacna1s	NM_014193.2		0	0	1	3	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
Cacybp	Cacybp	NM_009786.2		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cadm3	Cadm3	NM_053199.3		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Carf	Carf	NM_001285463.1		0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Carf	Carf	NM_001285473.1		0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Carf	Carf	NM_139150.5		0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Carf	Carf	NR_104344.1		0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Casp8	Casp8	NM_001080126.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Casp8	Casp8	NM_001277926.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Casp8	Casp8	NM_009812.2		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Catip	Catip	NM_001033345.2		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Ccdc121	Ccdc121	NM_207280.3		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Ccdc150	Ccdc150	NM_030025.2		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Ccdc185	Ccdc185	NM_001033547.2		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Ccdc93	Ccdc93	NM_001025156.2		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Ccdc93	Ccdc93	NM_029955.3		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Cd244	Cd244	NM_018729.2		0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Cd247	Cd247	NM_001113391.2		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cd247	Cd247	NM_001113392.2		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cd247	Cd247	NM_001113393.2		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cd247	Cd247	NM_031162.4		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cd247	Cd247	NR_103716.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cd46	Cd46	NM_010778.4		0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Cd46	Cd46	NR_132621.1		0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Cd48	Cd48	NM_007649.4		0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Cd55	Cd55	NM_010016.3		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cd55b	Cd55b	NM_001317361.1		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Cd55b	Cd55b	NM_007827.3		0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Cdc42bpa	Cdc42bpa	NM_001033285.1		0	0	3	6	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0
Cdc73	Cdc73	NM_145991.2		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Cdh19	Cdh19	NM_001081386.1		0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Cdh20	Cdh20	NM_011800.4		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cdh7	Cdh7	NM_001316743.1		0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Cdh7	Cdh7	NM_001316744.1		0	0	2	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
Cdh7	Cdh7	NM_172853.3		0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Cdk15	Cdk15	NM_001033373.2		0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Cenpf	Cenpf	NM_001081363.2		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cenpl	Cenpl	NM_001159930.2		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cenpl	Cenpl	NR_131028.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cenpl	Cenpl	NR_131029.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cenpl	Cenpl	NR_131030.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cep350	Cep350	NM_001039184.1		0	1	4	3	0	0	0	0	0	0	3	4	0	0	0	0	0	0	1	0
Cfap221	Cfap221	NM_001115074.1		0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Cfh	Cfh	NM_009888.3		0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Cfhr2	Cfhr2	NM_001025575.2		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Chit1	Chit1	NM_001284524.1		0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Chit1	Chit1	NM_001284525.1		0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Chit1	Chit1	NM_027979.2		0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Chrng	Chrng	NM_009604.3		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Clasp1	Clasp1	NM_001293300.1		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Clasp1	Clasp1	NM_001293301.1		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Clasp1	Clasp1	NM_029709.2		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Clk1	Clk1	NM_001042634.2		0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Clk1	Clk1	NR_027853.1		0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Clk1	Clk1	NR_027854.1		0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Cnga3	Cnga3	NM_001282010.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cnga3	Cnga3	NM_009918.2		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cnih3	Cnih3	NM_001160211.1		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cnih3	Cnih3	NM_001160212.1		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cnih3	Cnih3	NM_028408.3		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cnnm4	Cnnm4	NM_033570.2		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cnot9	Cnot9	NM_021383.5		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Cnppd1	Cnppd1	NM_026977.2		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Cnst	Cnst	NM_146105.3		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cntn2	Cntn2	NM_177129.5		0	0	3	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
Cntnap5a	Cntnap5a	NM_001077425.1		0	2	1	3	0	0	0	0	0	0	5	1	0	0	0	2	0	0	0	0
Cntnap5b	Cntnap5b	NM_172851.2		0	0	1	7	0	0	0	0	0	0	7	1	0	0	0	1	0	0	0	0
Col19a1	Col19a1	NM_007733.2		0	1	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0
Col3a1	Col3a1	NM_009930.2		0	1	0	10	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0
Col4a3	Col4a3	NM_007734.2		0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Col4a4	Col4a4	NM_007735.2		0	0	0	4	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Col5a2	Col5a2	NM_007737.2		0	2	1	5	0	0	0	0	0	0	6	1	0	0	0	1	0	0	1	0
Col6a3	Col6a3	NM_001243008.1		0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Col6a3	Col6a3	NM_001243009.1		0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Col9a1	Col9a1	NM_001290691.1		0	1	1	1	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0
Col9a1	Col9a1	NM_007740.3		0	1	1	1	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0
